Date,Open,High,Low,Close,Volume
2024-11-23,193.8922,193.8922,193.8922,193.8922,0.0
2024-11-24,193.5288,193.5288,193.0338,193.104,0.0
2024-11-25,194.155,195.1552,192.5454,193.7651,0.0
2024-11-26,193.7713,194.8998,191.3282,192.3824,0.0
2024-11-27,192.3432,194.517,189.0452,191.5307,0.0
2024-11-28,191.5058,192.8397,190.7971,192.1804,0.0
2024-11-29,192.1564,193.2171,189.3882,190.6738,0.0
2024-11-30,190.7111,190.7111,190.7111,190.7111,0.0
2024-12-01,190.7111,190.8,190.4087,190.5201,0.0
2024-12-02,190.4232,191.9952,188.0847,189.2746,0.0
2024-12-03,189.221,190.7922,187.8243,189.5619,0.0
2024-12-04,189.516,192.3855,188.83,191.2011,0.0
2024-12-05,191.2637,192.5505,189.9403,191.4541,0.0
2024-12-06,191.4337,193.0605,189.9898,191.0335,0.0
2024-12-08,191.1835,191.237,190.9681,191.0032,0.0
2024-12-09,191.0285,193.7075,190.3457,192.776,0.0
2024-12-10,192.7243,194.4508,191.9887,194.0042,0.0
2024-12-11,193.9988,195.3831,191.9618,194.3301,0.0
2024-12-12,194.3238,195.3659,192.2678,193.394,0.0
2024-12-13,193.3377,195.0071,192.1996,193.8773,0.0
2024-12-14,193.9954,193.9954,193.9954,193.9954,0.0
2024-12-15,193.9954,193.9954,193.6503,193.7496,0.0
2024-12-16,193.7219,196.1654,193.2875,195.4548,0.0
2024-12-17,195.3869,196.4532,193.98,194.959,0.0
2024-12-18,194.958,197.0845,192.6101,194.6412,0.0
2024-12-19,194.6034,199.891,192.9516,196.7854,0.0
2024-12-20,196.7424,199.2066,194.5361,196.5176,0.0
2024-12-22,196.588,196.588,196.2595,196.5098,0.0
2024-12-23,196.4741,197.9677,195.5582,196.89,0.0
2024-12-24,196.8592,197.9138,196.3937,196.9498,0.0
2024-12-25,196.8444,197.5737,196.6552,197.3231,0.0
2024-12-26,197.281,198.4112,196.3341,197.8083,0.0
2024-12-27,197.7612,198.9451,196.7524,198.3415,0.0
2024-12-29,198.2488,198.4388,197.9286,198.1103,0.0
2024-12-30,198.3048,199.2867,195.9218,196.8577,0.0
